2453603.49645 18.897 0.069 5.66 594.0
2453607.51261 18.908 0.050 3.89 623.0
2453608.50418 19.000 0.084 6.55 586.0
2453617.55769 18.878 0.059 5.17 599.0
2453620.66137 18.808 0.048 4.48 539.0
2453629.64571 19.188 0.121 5.88 1126.0
2453632.53197 18.823 0.069 5.01 860.0
2453634.59524 18.761 0.054 4.89 658.0
2453640.57568 18.983 0.061 4.92 558.0
2453646.50323 18.990 0.082 6.09 712.0
2453651.49486 18.890 0.077 4.90 977.0
2453653.52272 18.828 0.084 4.18 1629.0
2453773.87919 18.954 0.079 5.33 824.0
2453779.88442 18.851 0.069 4.69 998.0
2453786.83554 18.887 0.067 4.59 921.0
2453790.83076 18.893 0.066 4.07 1071.0
2453793.82076 18.818 0.053 4.05 865.0
2453795.81044 18.920 0.066 4.83 773.0
2453797.80570 18.815 0.051 3.78 850.0
2453798.85386 18.800 0.048 4.29 606.0
2453800.90101 18.888 0.061 4.63 699.0
2453802.89475 18.932 0.058 4.50 619.0
2453804.80927 19.042 0.070 5.11 555.0
2453805.84668 18.788 0.055 4.64 648.0
2453806.84325 18.907 0.055 4.33 686.0
2453808.81638 18.869 0.054 3.85 844.0
2453809.82004 18.986 0.054 3.48 864.0
2453810.86807 18.882 0.059 4.09 872.0
2453811.89530 18.887 0.056 4.44 630.0
2453813.88100 18.928 0.058 4.02 756.0
2453814.87851 18.733 0.050 4.16 764.0
2453818.78832 18.874 0.047 3.69 666.0
2453819.85206 18.938 0.044 3.64 536.0
2453820.81576 18.903 0.044 3.70 508.0
2453821.82004 18.873 0.047 3.86 543.0
2453822.86647 18.835 0.049 4.13 594.0
2453823.83020 18.916 0.042 3.46 512.0
2453824.83191 18.973 0.074 5.56 634.0
2453825.85369 18.840 0.054 4.60 609.0
2453826.83165 18.883 0.055 4.73 575.0
2453827.85453 18.990 0.049 4.11 484.0
2453828.83008 18.976 0.067 5.45 529.0
2453829.80825 19.001 0.052 3.79 533.0
2453830.78917 18.849 0.050 3.78 660.0
